run_id,record_tag,timestamp_utc,task_manager,global_planner,local_planner,packages_delivered,pph,simulation_seconds,real_runtime_seconds,agent_count,loading_port_count,unloading_port_count,map_width,map_height,resolution,steps_per_second,total_distance_travelled,avg_distance_travelled,max_distance_travelled,global_plan_calls,replan_events,total_contact_frames,total_collision_events,agent_agent_collision_events,agent_wall_collision_events,state_time_ratios,contact_frame_counts,collision_event_counts,max_queue_lengths
20260804T142312Z_aa5ae157,planner_matrix_baseline_60s_MARRTStar_VirtualForcePlanner_NaiveTaskManager,2026-08-04T14:23:44.525205Z,NaiveTaskManager,MARRTStar,VirtualForcePlanner,4,240.0,60.0,31.541,2,1,1,12,12,1,10,148.11,74.055,75.825,21,0,0,0,0,0,"{""CRUISE"": 0.5599, ""LOADING"": 0.1647, ""QUEUING"": 0.2754}",{},{},"{""0"": 0}"
20260804T142234Z_eaf5962c,stage_chain_medium_60s_LayeredAStarReservationAware_DullPlanner_NaiveTaskManager,2026-08-04T14:23:55.364231Z,NaiveTaskManager,LayeredAStarReservationAware,DullPlanner,7,420.0,60.0,81.186,4,2,2,20,20,1,20,314.811,78.703,81.011,277,242,6,6,6,0,"{""CRUISE"": 0.7483, ""LOADING"": 0.1309, ""QUEUING"": 0.1207}","{""agent__agent"": 6}","{""agent__agent"": 6}","{""0"": 0, ""1"": 0}"
20260804T142352Z_362f5615,planner_matrix_baseline_60s_MARRTStar_RVOPlanner_NaiveTaskManager,2026-08-04T14:24:24.173522Z,NaiveTaskManager,MARRTStar,RVOPlanner,4,240.0,60.0,31.697,2,1,1,12,12,1,10,149.411,74.705,76.021,22,0,0,0,0,0,"{""CRUISE"": 0.5366, ""LOADING"": 0.1631, ""QUEUING"": 0.3003}",{},{},"{""0"": 0}"
20260804T142251Z_3758a765,task_manager_high_60s_LayeredAStarCollisionAware_DullPlanner_NaiveTaskManager,2026-08-04T14:24:47.811756Z,NaiveTaskManager,LayeredAStarCollisionAware,DullPlanner,7,420.0,60.0,116.687,6,3,3,24,24,1,20,480.029,80.005,83.938,513,470,27,27,27,0,"{""CRUISE"": 0.7688, ""LOADING"": 0.1049, ""QUEUING"": 0.1263}","{""agent__agent"": 27}","{""agent__agent"": 27}","{""0"": 0, ""1"": 0, ""2"": 0}"
20260804T142431Z_e9c1163f,planner_matrix_baseline_60s_MARRTStar_HRVOPlanner_NaiveTaskManager,2026-08-04T14:24:51.323453Z,NaiveTaskManager,MARRTStar,HRVOPlanner,0,0.0,60.0,19.978,2,1,1,12,12,1,10,112.305,56.152,94.458,4,0,30,30,0,30,"{""CRUISE"": 0.3028, ""QUEUING"": 0.6972}","{""agent__wall"": 30}","{""agent__wall"": 30}","{""0"": 0}"
20260804T142352Z_0d2667ca,task_manager_medium_60s_LayeredAStarReservationAware_VirtualForcePlanner_NaiveTaskManager,2026-08-04T14:25:19.983538Z,NaiveTaskManager,LayeredAStarReservationAware,VirtualForcePlanner,0,0.0,60.0,87.799,4,2,2,20,20,1,20,39.184,9.796,20.775,3141,3133,0,0,0,0,"{""CRUISE"": 0.092, ""QUEUING"": 0.908}",{},{},"{""0"": 0, ""1"": 0}"
20260804T142458Z_265f88cb,planner_matrix_baseline_60s_MARRTStar_DDPlanner_NaiveTaskManager,2026-08-04T14:25:22.065714Z,NaiveTaskManager,MARRTStar,DDPlanner,1,60.0,60.0,23.934,2,1,1,12,12,1,10,46.298,23.149,30.555,8,0,18,18,18,0,"{""CRUISE"": 0.1664, ""LOADING"": 0.0366, ""QUEUING"": 0.797}","{""agent__agent"": 18}","{""agent__agent"": 18}","{""0"": 0}"
20260804T142403Z_531a6f65,stage_chain_medium_60s_LayeredAStarReservationAware_VirtualForcePlanner_NaiveTaskManager,2026-08-04T14:25:30.310142Z,NaiveTaskManager,LayeredAStarReservationAware,VirtualForcePlanner,0,0.0,60.0,86.338,4,2,2,20,20,1,20,39.184,9.796,20.775,3141,3133,0,0,0,0,"{""CRUISE"": 0.092, ""QUEUING"": 0.908}",{},{},"{""0"": 0, ""1"": 0}"
20260804T142529Z_b91fb51f,planner_matrix_baseline_60s_MARRTStar_FLCPlanner_NaiveTaskManager,2026-08-04T14:26:03.295092Z,NaiveTaskManager,MARRTStar,FLCPlanner,3,180.0,60.0,33.311,2,1,1,12,12,1,10,105.637,52.819,53.587,19,0,0,0,0,0,"{""CRUISE"": 0.4759, ""LOADING"": 0.1281, ""QUEUING"": 0.396}",{},{},"{""0"": 0}"
20260804T142351Z_2960bf90,stage_chain_high_60s_LayeredAStarCollisionAware_VirtualForcePlanner_NaiveTaskManager,2026-08-04T14:26:05.433356Z,NaiveTaskManager,LayeredAStarCollisionAware,VirtualForcePlanner,0,0.0,60.0,133.898,6,3,3,24,24,1,20,147.227,24.538,48.974,2077,2061,0,0,0,0,"{""CRUISE"": 0.2281, ""LOADING"": 0.0115, ""QUEUING"": 0.7603}",{},{},"{""0"": 0, ""1"": 0, ""2"": 0}"
20260804T142455Z_91cdbd81,task_manager_high_60s_LayeredAStarCollisionAware_DullPlanner_CongestionAwareTaskManager,2026-08-04T14:26:39.275888Z,CongestionAwareTaskManager,LayeredAStarCollisionAware,DullPlanner,7,420.0,60.0,103.8,6,3,3,24,24,1,20,481.297,80.216,84.013,482,440,27,27,27,0,"{""CRUISE"": 0.767, ""LOADING"": 0.1028, ""QUEUING"": 0.1302}","{""agent__agent"": 27}","{""agent__agent"": 27}","{""0"": 0, ""1"": 0, ""2"": 0}"
20260804T142528Z_e68c40f4,task_manager_medium_60s_LayeredAStarReservationAware_VirtualForcePlanner_CongestionAwareTaskManager,2026-08-04T14:26:42.574632Z,CongestionAwareTaskManager,LayeredAStarReservationAware,VirtualForcePlanner,0,0.0,60.0,73.59,4,2,2,20,20,1,20,39.184,9.796,20.775,3141,3133,0,0,0,0,"{""CRUISE"": 0.092, ""QUEUING"": 0.908}",{},{},"{""0"": 0, ""1"": 0}"
20260804T142539Z_993ea207,stage_chain_medium_60s_LayeredAStarQueueAware_DullPlanner_NaiveTaskManager,2026-08-04T14:26:46.236082Z,NaiveTaskManager,LayeredAStarQueueAware,DullPlanner,5,300.0,60.0,67.102,4,2,2,20,20,1,20,289.682,72.421,81.026,753,721,0,0,0,0,"{""CRUISE"": 0.7644, ""LOADING"": 0.1184, ""QUEUING"": 0.1172}",{},{},"{""0"": 0, ""1"": 0}"
